IPAddress, Whitelisted,ISP, AbuseConfidenceScore, Domain, IsTor, UsageType,  CountryCode
1.1.1.1, True, APNIC and CloudFlare DNS Resolver Project,0,cloudflare.com, False, Content Delivery Network, US
2.2.2.2, False, Orange S.A.,9,orange.com, False, , FR
3.3.3.3, False, Amazon Technologies Inc.,0,amazon.com, False, Data Center/Web Hosting/Transit, US
4.4.4.4, False, Level 3 Communications Inc.,0,level3.com, False, Fixed Line ISP, US
5.5.5.5, False, Telefonica Germany GmbH & Co. OHG,0,telefonica.de, False, , DE
6.6.6.6, False, Headquarters USAISC,0,army.mil, False, Military, US
7.7.7.7, False, DoD Network Information Center,0,nic.mil, False, Military, US
8.8.8.8, True, Google LLC,0,google.com, False, Data Center/Web Hosting/Transit, US
9.9.9.9, True, QUAD,0,quad9.net, False, Data Center/Web Hosting/Transit, CH
11.10.10.10, , DoD Network Information Center,0,nic.mil, False, Military, US
12.11.11.11, , AT&T Services Inc.,0,att.net, False, , US
13.12.12.12, , Xerox Corporation,0,xerox.com, False, Commercial, US
14.13.13.13, , KDDI Corporation,0,kddi.com, False, , JP
15.14.14.14, , HP Inc.,0,hp.com, False, Commercial, US
16.15.15.15, , Amazon.com Inc.,0,amazon.com, False, Data Center/Web Hosting/Transit, US
17.16.16.16, , Apple Inc.,0,apple.com, False, Data Center/Web Hosting/Transit, US
18.17.17.17, , Massachusetts Institute of Technology,0,mit.edu, False, University/College/School, US
19.18.18.18, , Ford Motor Company,0,ford.com, False, Commercial, US
20.19.19.19, , Microsoft Corporation,0,microsoft.com, False, Data Center/Web Hosting/Transit, FR
21.20.20.20, , DoD Network Information Center,0,nic.mil, False, Military, US
22.21.21.21, , DoD Network Information Center,0,nic.mil, False, Military, US
23.22.22.22, , Amazon Data Services NoVa,0,amazon.com, False, Data Center/Web Hosting/Transit, US
24.23.23.23, , Comcast Cable Communications LLC,0,comcast.net, False, Fixed Line ISP, US
25.24.24.24, , UK Ministry of Defence,0,mod.uk, False, Military, GB
26.25.25.25, , DoD Network Information Center,0,nic.mil, False, Military, US
27.26.26.26, False, ChinaNet Hubei Province Network,0,chinatelecom.com.cn, False, , CN
28.27.27.27, , DoD Network Information Center,0,nic.mil, False, Military, US
29.28.28.28, , DoD Network Information Center,0,nic.mil, False, Military, US
30.29.29.29, , DoD Network Information Center,0,nic.mil, False, Military, US
31.30.30.30, , Vodafone Czech Republic a.s.,0,vodafone.cz, False, , CZ
32.31.31.31, , AT&T Corp.,0,att.com, False, , US
33.32.32.32, , DoD Network Information Center,0,nic.mil, False, Military, US
34.33.33.33, , Google LLC,0,google.com, False, Data Center/Web Hosting/Transit, US
35.34.34.34, , Central Michigan University,0,cmich.edu, False, University/College/School, US
36.35.35.35, , China Unicom Anhui Province Network,0,chinaunicom.com, False, , CN
37.36.36.36, , Mobile Telecommunications Company,0,zain.com, False, Mobile ISP, KW
38.37.37.37, , Intercontinental Internet Data Corp,0,iidcorp.com, False, Data Center/Web Hosting/Transit, US
39.38.38.38, , Pakistan Telecommunication Company Limited,0,ptcl.com.pk, False, , PK
40.39.39.39, , Eli Lilly and Company,0,lilly.com, False, Commercial, US
41.40.40.40, , TE Data,0,tedata.net, False, , EG
42.41.41.41, , SK Telecom,0,sktelecom.com, False, , KR
43.42.42.42, , Aliyun Computing Co. Ltd,0,aliyun.com, False, Data Center/Web Hosting/Transit, CN
44.43.43.43, , Amateur Radio Digital Communications,0,ampr.org, False, Data Center/Web Hosting/Transit, US
45.44.44.44, , VMedia Inc,0,vmedia.ca, False, Fixed Line ISP, CA
46.45.45.45, , Vega-Service LLC,0,vega-int.ru, False, Fixed Line ISP, RU
47.46.46.46, , Charter Communications Inc,0,spectrum.com, False, Fixed Line ISP, US
48.47.47.47, , The Prudential Insurance Company of America,0,prudential.com, False, Commercial, US
49.48.48.48, False, Triple T Broadband Public Company Limited,0,3bb.co.th, False, Fixed Line ISP, TH
50.49.49.49, , Frontier Communications of America Inc.,0,frontier.com, False, Fixed Line ISP, US
51.50.50.50, , A100 ROW Inc,0,amazon.com, False, Data Center/Web Hosting/Transit, DE
52.51.51.51, , Amazon Data Services Ireland Limited,0,amazon.com, False, Data Center/Web Hosting/Transit, IE
53.52.52.52, , Mercedes-Benz Group AG,0,mercedes-benz.com, False, Commercial, DE
54.53.53.53, , Merck and Co. Inc.,0,merck.com, False, Commercial, US
